"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Metadata Type","Metadata Id","Metadata Element Type","Language","Value","Data Value","Status","Method"
"276","02122","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1653139,"","q"
"703","02122","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",111757,"","q"
"144","02123","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",73324,"","q"
"8","02140","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",203530,"","q"
"356","02151","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",2019409.82204,"","q"
"40","02153","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",96,"","q"
"68","02151","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",169454.445707,"","q"
"300","02140","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1718918,"","q"
"703","02151","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",41002,"","q"
"705","02131","5315","2014","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1544,"","q"
"68","02151","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",171888.949666,"","q"
"68","02154","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",607.100932,"","q"
"68","02154","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",576.867284,"","q"
"233","02123","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1200,"","q"
"31","02151","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",80009,"","q"
"31","02151","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",73320,"","q"
"703","02151","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",41060,"","q"
"760","02152","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",39,"","q"
"604","02151","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",594004.185095,"","q"
"392","02131","5315","2014","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",13470,"","q"
"144","02111","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",170477,"","q"
"604","02111","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1319403.872212,"","q"
"233","02123","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1100,"","q"
"705","02123","5315","2014","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",20419,"","q"
"31","02111","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1080492,"","q"
"196","02123","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",121208,"","q"
"642","02111","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",612000,"","q"
"826","02154","5316","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",13400,"","q"
"604","02140","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",2401633.575773,"","q"
"604","02123","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",496625.693013,"","q"
"604","02123","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",505261.546295,"","q"
"192","02122","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",705474,"","q"
"276","02111","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",3521272,"","q"
"31","02111","5315","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1059123,"","q"
"84","02152","5316","2014","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",37.658,"","q"
"604","02140","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",2401633.575773,"","q"
"578","02140","5315","2013","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",1605477,"","q"
"40","02151","5316","2012","[GENERAL] General",1,"[COMMENT] Comment","[en] English","Copied from corresponding meat commodity as erroneously imported from questionaire",77600,"","q"
