geographicAreaM49,Geographic Area,measuredItemCPC,Item,measuredElement,Element,timePointYears,Year,Value,flagObservationStatus,flagMethod
40,Austria,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,692369,,-
40,Austria,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,679772,,-
40,Austria,02122,Sheep,5315,Slaughtered/Prod Animals [head],2014,2014,282325,,q
40,Austria,02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,285823,,-
40,Austria,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,289533,,-
40,Austria,02123,Goats,5315,Slaughtered/Prod Animals [head],2014,2014,55894,,q
40,Austria,02123,Goats,5315,Slaughtered/Prod Animals [head],2013,2013,54390,,-
40,Austria,02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,58133,,-
40,Austria,02131,Horses,5315,Slaughtered/Prod Animals [head],2014,2014,943,,q
40,Austria,02131,Horses,5315,Slaughtered/Prod Animals [head],2013,2013,1004,,-
40,Austria,02131,Horses,5315,Slaughtered/Prod Animals [head],2012,2012,933,,-
40,Austria,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2014,2014,5409578,,p
40,Austria,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,5431798,,-
40,Austria,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,5432959,,-
40,Austria,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2014,2014,80400,,p
40,Austria,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,69100,,-
40,Austria,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,77000,,-
40,Austria,02152,Turkeys,5316,Slaughtered/Prod Animals [1000 head],2014,2014,2003,,p
40,Austria,02152,Turkeys,5316,Slaughtered/Prod Animals [1000 head],2013,2013,2248,,-
40,Austria,02152,Turkeys,5316,Slaughtered/Prod Animals [1000 head],2012,2012,2395,,-
40,Austria,02153,Geese,5316,Slaughtered/Prod Animals [1000 head],2014,2014,97,,p
40,Austria,02153,Geese,5316,Slaughtered/Prod Animals [1000 head],2013,2013,97,,-
40,Austria,02153,Geese,5316,Slaughtered/Prod Animals [1000 head],2012,2012,100,,-
40,Austria,02154,Ducks,5316,Slaughtered/Prod Animals [1000 head],2014,2014,48,,p
40,Austria,02154,Ducks,5316,Slaughtered/Prod Animals [1000 head],2013,2013,48,,-
40,Austria,02154,Ducks,5316,Slaughtered/Prod Animals [1000 head],2012,2012,61,,-
40,Austria,02191,Rabbits and hares,5316,Slaughtered/Prod Animals [1000 head],2014,2014,200,,p
40,Austria,02191,Rabbits and hares,5316,Slaughtered/Prod Animals [1000 head],2013,2013,200,,-
40,Austria,02191,Rabbits and hares,5316,Slaughtered/Prod Animals [1000 head],2012,2012,200,,-
40,Austria,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2013,2013,692369,,c
40,Austria,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2012,2012,679772,,c
40,Austria,02952.01,"Horse hides, fresh",5320,Slaughtered/Prod Animals [head],2013,2013,1004,,c
40,Austria,02952.01,"Horse hides, fresh",5320,Slaughtered/Prod Animals [head],2012,2012,933,,c
40,Austria,02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2013,2013,285823,,c
40,Austria,02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2012,2012,289533,,c
40,Austria,02954,Raw hides and skins of goats or kids,5320,Slaughtered/Prod Animals [head],2013,2013,54390,,c
40,Austria,02954,Raw hides and skins of goats or kids,5320,Slaughtered/Prod Animals [head],2012,2012,58133,,c
40,Austria,02955.02,Rabbit skins,5321,Slaughtered/Prod Animals [1000 head],2013,2013,200,,c
40,Austria,02955.02,Rabbit skins,5321,Slaughtered/Prod Animals [1000 head],2012,2012,200,,c
40,Austria,02959.01,Raw skins of swine,5320,Slaughtered/Prod Animals [head],2014,2014,0,M,-
40,Austria,02959.01,Raw skins of swine,5320,Slaughtered/Prod Animals [head],2013,2013,5431798,,c
40,Austria,02959.01,Raw skins of swine,5320,Slaughtered/Prod Animals [head],2012,2012,5432959,,c
40,Austria,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,675905,,q
40,Austria,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,692369,,q
40,Austria,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,679772,,q
40,Austria,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,5409578,,q
40,Austria,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,5431798,,q
40,Austria,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,5432959,,q
40,Austria,21114,"Meat of rabbits and hares, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,200,,q
40,Austria,21114,"Meat of rabbits and hares, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,200,,q
40,Austria,21114,"Meat of rabbits and hares, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,200,,q
40,Austria,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,282625,,q
40,Austria,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,285823,,q
40,Austria,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,289533,,q
40,Austria,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,55894,,q
40,Austria,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,54390,,q
40,Austria,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,58133,,q
40,Austria,21118.01,Horse meat (fresh),5320,Slaughtered/Prod Animals [head],2014,2014,943,,q
40,Austria,21118.01,Horse meat (fresh),5320,Slaughtered/Prod Animals [head],2013,2013,1004,,q
40,Austria,21118.01,Horse meat (fresh),5320,Slaughtered/Prod Animals [head],2012,2012,933,,q
40,Austria,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,80400,,q
40,Austria,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,77000,,q
40,Austria,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,77600,,q
40,Austria,21122,"Meat of ducks, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,48,,q
40,Austria,21122,"Meat of ducks, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,48,,q
40,Austria,21122,"Meat of ducks, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,48,,q
40,Austria,21123,"Meat of geese, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,97,,q
40,Austria,21123,"Meat of geese, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,97,,q
40,Austria,21123,"Meat of geese, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,96,,q
40,Austria,21124,"Meat of turkeys, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2014,2014,2003,,q
40,Austria,21124,"Meat of turkeys, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,1958,,q
40,Austria,21124,"Meat of turkeys, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,2238,,q
40,Austria,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,692369,,c
40,Austria,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,679772,,c
40,Austria,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,5431798,,c
40,Austria,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,5432959,,c
40,Austria,21155,"Edible offal of sheep, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,285823,,c
40,Austria,21155,"Edible offal of sheep, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,289533,,c
40,Austria,21156,"Edible offal of goat, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,54390,,c
40,Austria,21156,"Edible offal of goat, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,58133,,c
40,Austria,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,1004,,c
40,Austria,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,933,,c
40,Austria,21160.01,"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",5321,Slaughtered/Prod Animals [1000 head],2012,2012,0,M,-
40,Austria,21160.03,"Edible offals and liver of ducks, fresh, chilled or frozen",5321,Slaughtered/Prod Animals [1000 head],2013,2013,48,,c
40,Austria,21160.03,"Edible offals and liver of ducks, fresh, chilled or frozen",5321,Slaughtered/Prod Animals [1000 head],2012,2012,61,,c
40,Austria,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2013,2013,5431798,,c
40,Austria,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2012,2012,5432959,,c
40,Austria,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,692369,,c
40,Austria,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,679772,,c
40,Austria,21514,"Sheep fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,285823,,c
40,Austria,21514,"Sheep fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,289533,,c
40,Austria,21515,"Goat fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,54390,,c
40,Austria,21515,"Goat fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,58133,,c
31,Azerbaijan(1992-),02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,1100100,,-
31,Azerbaijan(1992-),02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,1069200,,-
31,Azerbaijan(1992-),02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,5255000,,-
31,Azerbaijan(1992-),02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,5207000,,-
31,Azerbaijan(1992-),02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,14200,,-
31,Azerbaijan(1992-),02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,14200,,-
31,Azerbaijan(1992-),02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,82400,,-
31,Azerbaijan(1992-),02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,75500,,-
31,Azerbaijan(1992-),02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2013,2013,1100100,,c
31,Azerbaijan(1992-),02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2012,2012,1069200,,c
31,Azerbaijan(1992-),02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2013,2013,5255000,,c
31,Azerbaijan(1992-),02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2012,2012,5207000,,c
31,Azerbaijan(1992-),21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2014,2014,1094544,,q
