"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"380","02111","5315","2012",3409984,"","q"
"380","02111","5315","2013",3007558,"","q"
"380","02111","5315","2014",2511789,"","q"
"380","02112","5315","2012",118653,"","q"
"380","02112","5315","2013",57570,"","q"
"380","02112","5315","2014",77988,"","q"
"380","02122","5315","2012",5089609,"","q"
"380","02122","5315","2013",3031165,"","q"
"380","02122","5315","2014",2517387,"","q"
"380","02123","5315","2012",262791,"","q"
"380","02123","5315","2013",137456,"","q"
"380","02123","5315","2014",132751,"","q"
"380","02131","5315","2012",72387,"","q"
"380","02131","5315","2013",53234,"","q"
"380","02131","5315","2014",42482,"","q"
"380","02140","5315","2012",13377139,"","q"
"380","02140","5315","2013",13098673,"","q"
"380","02140","5315","2014",10930709,"","q"
"380","02151","5316","2012",517833,"","q"
"380","02152","5316","2012",30351,"","q"
"380","02152","5316","2013",29232,"","q"
"388","02111","5315","2012",21495,"","q"
"388","02122","5315","2012",1296,"","q"
"388","02140","5315","2012",142716,"","q"
"388","02151","5316","2012",72976.43,"","q"
"392","02111","5315","2012",1199510,"","q"
"392","02111","5315","2013",1184999,"","q"
"392","02111","5315","2014",1156730,"","q"
"392","02131","5315","2012",12273,"","q"
"392","02140","5315","2012",16776233,"","q"
"392","02140","5315","2013",16940368,"","q"
"392","02140","5315","2014",16201793,"","q"
"392","02151","5316","2012",748516,"","q"
"392","02151","5316","2013",748636,"","q"
"40","02111","5315","2012",679772,"","q"
"40","02111","5315","2013",692369,"","q"
"40","02122","5315","2012",289533,"","q"
"40","02122","5315","2013",285823,"","q"
"40","02123","5315","2012",58133,"","q"
"40","02123","5315","2013",54390,"","q"
"40","02123","5315","2014",55894,"","q"
"40","02131","5315","2012",933,"","q"
"40","02131","5315","2013",1004,"","q"
"40","02131","5315","2014",943,"","q"
"40","02140","5315","2012",5432959,"","q"
"40","02140","5315","2013",5431798,"","q"
"40","02140","5315","2014",5409578,"","q"
"40","02151","5316","2014",80400,"","q"
"40","02152","5316","2014",2003,"","q"
"40","02153","5316","2013",97,"","q"
"40","02153","5316","2014",97,"","q"
"40","02154","5316","2013",48,"","q"
"40","02154","5316","2014",48,"","q"
"40","02191","5316","2012",200,"","q"
"40","02191","5316","2013",200,"","q"
"40","02191","5316","2014",200,"","q"
"410","02111","5315","2012",970000,"","q"
"428","02111","5315","2012",101181,"","q"
"428","02111","5315","2013",99223,"","q"
"428","02122","5315","2012",33070,"","q"
"428","02122","5315","2013",34191,"","q"
"428","02131","5315","2012",416,"","q"
